gene_id	entrez_id	gene_name	gene_biotype	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	direction_at_padj0.05_lfc1	contrast	note
ENSGALG00000002468	102468	DUMMY02468	protein_coding	synthetic predicted protein-coding gene 02468	49.5	-2.8074	0.2966	-9.4656	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001278	101278	DUMMY01278	protein_coding	synthetic predicted protein-coding gene 01278	2800.5	2.2445	0.1758	12.7685	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001289	101289	DUMMY01289	protein_coding	synthetic predicted protein-coding gene 01289	235.5	-2.988	0.2079	-14.3756	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002465	102465	DUMMY02465	protein_coding	synthetic predicted protein-coding gene 02465	3098.0	-2.037	0.2047	-9.9518	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002466	102466	DUMMY02466	protein_coding	synthetic predicted protein-coding gene 02466	627.5	2.1818	0.1858	11.7446	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001726	101726	DUMMY01726	protein_coding	synthetic predicted protein-coding gene 01726	435.667	-1.9654	0.2107	-9.329	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001021	101021	DUMMY01021	lncRNA	synthetic predicted protein-coding gene 01021	1130.667	2.7459	0.1929	14.2346	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001961	101961	DUMMY01961	lncRNA	synthetic predicted protein-coding gene 01961	1375.333	2.3011	0.1795	12.8213	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002038	102038	DUMMY02038	protein_coding	synthetic predicted protein-coding gene 02038	192.5	-2.0559	0.2226	-9.2376	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002050	102050	DUMMY02050	protein_coding	synthetic predicted protein-coding gene 02050	949.333	2.4138	0.1802	13.3963	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000338	100338	DUMMY00338	protein_coding	synthetic predicted protein-coding gene 00338	276.0	-2.2908	0.2161	-10.6007	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000079	100079	DUMMY00079	protein_coding	synthetic predicted protein-coding gene 00079	444.0	-2.5434	0.1962	-12.963	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002945	102945	DUMMY02945	protein_coding	synthetic predicted protein-coding gene 02945	314.667	2.0516	0.203	10.1057	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002958	102958	DUMMY02958	protein_coding	synthetic predicted protein-coding gene 02958	316.667	1.9258	0.2124	9.0657	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002298	102298	DUMMY02298	protein_coding	synthetic predicted protein-coding gene 02298	137.667	-2.3812	0.2376	-10.0219	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000574	100574	DUMMY00574	protein_coding	synthetic predicted protein-coding gene 00574	1055.333	1.8529	0.1886	9.8271	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000030	100030	PTGS2	protein_coding	prostaglandin-endoperoxide synthase 2	744.5	-2.2522	0.1884	-11.9521	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001414	101414	DUMMY01414	protein_coding	synthetic predicted protein-coding gene 01414	684.0	-1.8384	0.1879	-9.7854	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001858	101858	DUMMY01858	protein_coding	synthetic predicted protein-coding gene 01858	2391.5	-2.0539	0.2053	-10.0063	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001356	101356	DUMMY01356	protein_coding	synthetic predicted protein-coding gene 01356	147.0	-2.7075	0.2651	-10.2128	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002170	102170	DUMMY02170	protein_coding	synthetic predicted protein-coding gene 02170	2066.667	1.5353	0.1716	8.9489	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002176	102176	DUMMY02176	protein_coding	synthetic predicted protein-coding gene 02176	133.5	-2.2271	0.2605	-8.5499	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000678	100678	DUMMY00678	protein_coding	synthetic predicted protein-coding gene 00678	533.0	1.9767	0.2114	9.3516	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001859	101859	DUMMY01859	protein_coding	synthetic predicted protein-coding gene 01859	1149.5	3.0345	0.1908	15.9031	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002731	102731	DUMMY02731	protein_coding	synthetic predicted protein-coding gene 02731	1658.833	2.204	0.1897	11.6178	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002720	102720	DUMMY02720	protein_coding	synthetic predicted protein-coding gene 02720	487.833	2.9366	0.2017	14.5588	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002582	102582	DUMMY02582	protein_coding	synthetic predicted protein-coding gene 02582	961.833	-2.6103	0.1775	-14.7063	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002874	102874	DUMMY02874	protein_coding	synthetic predicted protein-coding gene 02874	528.5	2.2025	0.2221	9.9147	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002601	102601	DUMMY02601	lncRNA	synthetic predicted protein-coding gene 02601	161.167	2.2603	0.2218	10.1899	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000286	100286	DUMMY00286	protein_coding	synthetic predicted protein-coding gene 00286	305.667	1.8751	0.2127	8.8162	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002243	102243	DUMMY02243	protein_coding	synthetic predicted protein-coding gene 02243	830.333	-2.6809	0.233	-11.5064	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001576	101576	DUMMY01576	protein_coding	synthetic predicted protein-coding gene 01576	726.0	-1.9841	0.1916	-10.3559	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000793	100793	DUMMY00793	protein_coding	synthetic predicted protein-coding gene 00793	996.667	-2.6252	0.2557	-10.2677	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000491	100491	DUMMY00491	protein_coding	synthetic predicted protein-coding gene 00491	625.0	2.8131	0.2229	12.621	1.000e-300	2.752e-299	up	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000001107	101107	DUMMY01107	protein_coding	synthetic predicted protein-coding gene 01107	589.0	-3.2029	0.196	-16.3426	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000002809	102809	DUMMY02809	protein_coding	synthetic predicted protein-coding gene 02809	163.667	-2.2664	0.247	-9.1768	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
ENSGALG00000000276	100276	DUMMY00276	protein_coding	synthetic predicted protein-coding gene 00276	1437.5	-2.6659	0.206	-12.9428	1.000e-300	2.752e-299	down	Sacral_vs_Sacralized_Caudal	Synthetic DESeq2-like statistics; not produced by DESeq2
